users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant,cohen_d
1000,1,complex,neo4j_normal,neo4j_optimized,0.06659668709503655,0.9469477209280222,False,0.007689923044291327
1000,1,complex,neo4j_normal,postgres_normal,12.620118258644824,2.182828186069863e-25,True,1.4572457347667
1000,1,complex,neo4j_normal,postgres_optimized,13.180633415515286,8.588496908892849e-27,True,1.5219684501075055
1000,1,complex,neo4j_optimized,postgres_normal,13.557783973192615,6.439971360082025e-28,True,1.56551804530751
1000,1,complex,neo4j_optimized,postgres_optimized,14.17171032777023,2.0325519185680737e-29,True,1.6364081545231084
1000,1,complex,postgres_normal,postgres_optimized,6.107436403168927,6.820655002712247e-09,True,0.7052260102856199
1000,1,create,neo4j_normal,neo4j_optimized,-0.07441564364142184,0.9407174835796004,False,-0.007441564364142184
1000,1,create,neo4j_normal,postgres_normal,31.73864232313155,7.360025322331359e-105,True,3.1738642323131545
1000,1,create,neo4j_normal,postgres_optimized,30.416152026078887,5.7370531522619616e-92,True,3.0416152026078884
1000,1,create,neo4j_optimized,postgres_normal,34.195805030173105,1.8375835175704465e-116,True,3.419580503017311
1000,1,create,neo4j_optimized,postgres_optimized,33.23504096360012,1.1089773975895433e-103,True,3.3235040963600126
1000,1,create,postgres_normal,postgres_optimized,-5.336336099405313,1.6754332288727933e-07,True,-0.5336336099405312
1000,1,delete,neo4j_normal,neo4j_optimized,0.6293587954630999,0.5295325903168903,False,0.06293587954630998
1000,1,delete,neo4j_normal,postgres_normal,24.89517502943088,1.5961067358921326e-68,True,2.489517502943088
1000,1,delete,neo4j_normal,postgres_optimized,21.479652543924452,1.5041027297660886e-58,True,2.147965254392445
1000,1,delete,neo4j_optimized,postgres_normal,34.73381224351059,1.3787698559197247e-105,True,3.47338122435106
1000,1,delete,neo4j_optimized,postgres_optimized,29.559717273617924,1.0667541272076682e-91,True,2.955971727361792
1000,1,delete,postgres_normal,postgres_optimized,-7.043373503892272,8.38197689465387e-12,True,-0.7043373503892272
1000,1,easy,neo4j_normal,neo4j_optimized,0.15691432563638752,0.8754186721090422,False,0.018118905629175387
1000,1,easy,neo4j_normal,postgres_normal,6.769277407075346,2.7751612661950455e-10,True,0.7816488266388405
1000,1,easy,neo4j_normal,postgres_optimized,6.768971027275568,2.77958541619368e-10,True,0.7816134489468654
1000,1,easy,neo4j_optimized,postgres_normal,6.686851555348219,4.2843157055059065e-10,True,0.7721311091022723
1000,1,easy,neo4j_optimized,postgres_optimized,6.686538607751291,4.2912517260769953e-10,True,0.7720949730264066
1000,1,easy,postgres_normal,postgres_optimized,-0.01033214726853809,0.9917631996323526,False,-0.0011930536013594645
1000,1,medium,neo4j_normal,neo4j_optimized,-0.5984874048491774,0.5500527742871695,False,-0.06910737285925463
1000,1,medium,neo4j_normal,postgres_normal,8.535539248434638,1.4706084948681426e-14,True,0.9855991765524712
1000,1,medium,neo4j_normal,postgres_optimized,8.521550775157271,1.5933817304756344e-14,True,0.9839839267900231
1000,1,medium,neo4j_optimized,postgres_normal,6.108503297255541,8.349216561882356e-09,True,0.7053492046032406
1000,1,medium,neo4j_optimized,postgres_optimized,6.0998030446947595,8.719668534036135e-09,True,0.7043445859716435
1000,1,medium,postgres_normal,postgres_optimized,-0.34339273685805505,0.7315461932305776,False,-0.03965157781255208
1000,1,update,neo4j_normal,neo4j_optimized,0.09046776145103239,0.9279610706929371,False,0.009046776145103238
1000,1,update,neo4j_normal,postgres_normal,7.429580194316526,3.141292292114743e-12,True,0.7429580194316525
1000,1,update,neo4j_normal,postgres_optimized,7.358244159670266,4.785134524282921e-12,True,0.7358244159670266
1000,1,update,neo4j_optimized,postgres_normal,7.54544322093629,1.578041329590759e-12,True,0.754544322093629
1000,1,update,neo4j_optimized,postgres_optimized,7.47174060689973,2.44631493485496e-12,True,0.7471740606899729
1000,1,update,postgres_normal,postgres_optimized,-5.800447427975803,1.3815390672153973e-08,True,-0.5800447427975802
1000,1,very_complex,neo4j_normal,neo4j_optimized,0.3385729932444705,0.735188156872042,False,0.03909504175800649
1000,1,very_complex,neo4j_normal,postgres_normal,14.768939842306041,3.9402985284176324e-31,True,1.7053702787201568
1000,1,very_complex,neo4j_normal,postgres_optimized,15.304563730256863,1.1669159160790454e-32,True,1.7672187978987168
1000,1,very_complex,neo4j_optimized,postgres_normal,19.013542429084797,3.839615468483909e-42,True,2.1954947679360957
1000,1,very_complex,neo4j_optimized,postgres_optimized,19.68359434218855,3.94090036663239e-44,True,2.272865698416391
1000,1,very_complex,postgres_normal,postgres_optimized,3.999531420930022,8.140744286671905e-05,True,0.461826108501263
1000,3,complex,neo4j_normal,neo4j_optimized,-0.054793133910385025,0.95634001610863,False,-0.006326966122580801
1000,3,complex,neo4j_normal,postgres_normal,4.792156223150156,3.9240016638942074e-06,True,0.5533505370868969
1000,3,complex,neo4j_normal,postgres_optimized,5.104156848277972,9.967958575116725e-07,True,0.5893772660678719
1000,3,complex,neo4j_optimized,postgres_normal,4.735071029632968,5.019460514254911e-06,True,0.5467589067181186
1000,3,complex,neo4j_optimized,postgres_optimized,5.038025605151316,1.3407837608397528e-06,True,0.5817410878636678
1000,3,complex,postgres_normal,postgres_optimized,4.0137524347130755,8.294852614140015e-05,True,0.463468209728422
1000,3,create,neo4j_normal,neo4j_optimized,-0.3197457190785124,0.7493321639285144,False,-0.03197457190785124
1000,3,create,neo4j_normal,postgres_normal,-38.89936187939078,9.273519862106841e-123,True,-3.8899361879390786
1000,3,create,neo4j_normal,postgres_optimized,-40.068627657436316,3.685467875127314e-138,True,-4.006862765743632
1000,3,create,neo4j_optimized,postgres_normal,-42.678011853517866,1.131076503469529e-139,True,-4.267801185351787
1000,3,create,neo4j_optimized,postgres_optimized,-43.12603788541639,2.0051783906579894e-151,True,-4.312603788541638
1000,3,create,postgres_normal,postgres_optimized,-6.405112267003652,4.66168167630605e-10,True,-0.6405112267003651
1000,3,delete,neo4j_normal,neo4j_optimized,-1.2112101767881605,0.22653390990559694,False,-0.12112101767881603
1000,3,delete,neo4j_normal,postgres_normal,-47.96505513238861,4.798784414057177e-162,True,-4.796505513238861
1000,3,delete,neo4j_normal,postgres_optimized,-47.06365710577901,5.009723971420884e-164,True,-4.706365710577901
1000,3,delete,neo4j_optimized,postgres_normal,-45.93802511002443,3.6263496948451232e-155,True,-4.593802511002443
1000,3,delete,neo4j_optimized,postgres_optimized,-45.22049586954327,7.144568839868954e-158,True,-4.522049586954327
1000,3,delete,postgres_normal,postgres_optimized,-2.5810768699687876,0.010215952197469675,True,-0.25810768699687875
1000,3,easy,neo4j_normal,neo4j_optimized,0.08517903808086427,0.9321762535172262,False,0.009835628113060076
1000,3,easy,neo4j_normal,postgres_normal,6.176608636470264,5.932895605734706e-09,True,0.713213331789015
1000,3,easy,neo4j_normal,postgres_optimized,6.177390454893366,5.909570426917423e-09,True,0.713303608404422
1000,3,easy,neo4j_optimized,postgres_normal,6.079847900285764,9.640832195226972e-09,True,0.7020403643723935
1000,3,easy,neo4j_optimized,postgres_optimized,6.080632740575456,9.603111501279783e-09,True,0.7021309899228982
1000,3,easy,postgres_normal,postgres_optimized,0.04465383420783,0.9644131388437711,False,0.0051561806400479155
1000,3,medium,neo4j_normal,neo4j_optimized,0.39690151134858886,0.691728258239529,False,0.045830238883775416
1000,3,medium,neo4j_normal,postgres_normal,7.489265388039876,5.6134410042600825e-12,True,0.864785877563474
1000,3,medium,neo4j_normal,postgres_optimized,7.429889280987007,7.77342034249668e-12,True,0.8579297152853926
1000,3,medium,neo4j_optimized,postgres_normal,7.848242590477566,7.534805774564671e-13,True,0.9062369944555418
1000,3,medium,neo4j_optimized,postgres_optimized,7.780994654278919,1.0962673204691697e-12,True,0.8984718716421947
1000,3,medium,postgres_normal,postgres_optimized,-1.35724359648754,0.17577429243747048,False,-0.1567209911575954
1000,3,update,neo4j_normal,neo4j_optimized,0.8878619280261839,0.3752569038598552,False,0.08878619280261839
1000,3,update,neo4j_normal,postgres_normal,5.308904418193945,2.9321263158086944e-07,True,0.5308904418193945
1000,3,update,neo4j_normal,postgres_optimized,5.264374426537852,3.6294579614538966e-07,True,0.5264374426537851
1000,3,update,neo4j_optimized,postgres_normal,6.8713819382698516,7.969621121257107e-11,True,0.6871381938269853
1000,3,update,neo4j_optimized,postgres_optimized,6.799769523048025,1.194759810271154e-10,True,0.6799769523048027
1000,3,update,postgres_normal,postgres_optimized,-3.9269939977005883,0.00010236225530342375,True,-0.3926993997700588
1000,3,very_complex,neo4j_normal,neo4j_optimized,0.1724647163965728,0.8631898496356561,False,0.019914510087454755
1000,3,very_complex,neo4j_normal,postgres_normal,-16.09168199176475,7.396955072733528e-36,True,-1.8581073859318467
1000,3,very_complex,neo4j_normal,postgres_optimized,-15.780277455184523,6.739156619452334e-35,True,-1.8221494873275534
1000,3,very_complex,neo4j_optimized,postgres_normal,-15.284215625292745,1.860303303632604e-33,True,-1.7648692011230103
1000,3,very_complex,neo4j_optimized,postgres_optimized,-14.989133239090744,1.458352104880455e-32,True,-1.7307960221016416
1000,3,very_complex,postgres_normal,postgres_optimized,1.0200910533371637,0.30851397387072166,False,0.11778996884842809
1000,5,complex,neo4j_normal,neo4j_optimized,-0.16632122369017663,0.8680172948106217,False,-0.019205120653894292
1000,5,complex,neo4j_normal,postgres_normal,3.808864781172609,0.00020298330344885803,True,0.43980982134337815
1000,5,complex,neo4j_normal,postgres_optimized,3.9027950510359126,0.00014337206577977012,True,0.45065595466150465
1000,5,complex,neo4j_optimized,postgres_normal,3.8342672150820962,0.00018485740845819936,True,0.44274304175452106
1000,5,complex,neo4j_optimized,postgres_optimized,3.9230067759611407,0.00013291322598011694,True,0.4529898036267781
1000,5,complex,postgres_normal,postgres_optimized,1.1573200328679663,0.248170401574778,False,0.13363580650297338
1000,5,create,neo4j_normal,neo4j_optimized,-0.6208541831887986,0.5351702529939603,False,-0.06208541831887985
1000,5,create,neo4j_normal,postgres_normal,-103.8411494416302,3.61595836046779e-290,True,-10.384114944163018
1000,5,create,neo4j_normal,postgres_optimized,-98.14846097057837,5.08136639541789e-279,True,-9.814846097057837
1000,5,create,neo4j_optimized,postgres_normal,-66.07539635094108,8.093689026788655e-178,True,-6.607539635094108
1000,5,create,neo4j_optimized,postgres_optimized,-64.98234925374356,5.1847412075791145e-185,True,-6.498234925374358
1000,5,create,postgres_normal,postgres_optimized,-1.2858047447631304,0.19927208479109867,False,-0.12858047447631304
1000,5,delete,neo4j_normal,neo4j_optimized,-0.29805891290356107,0.7658985793267946,False,-0.0298058912903561
1000,5,delete,neo4j_normal,postgres_normal,-58.49795606316603,1.4657298979051434e-156,True,-5.8497956063166034
1000,5,delete,neo4j_normal,postgres_optimized,-59.61733962693262,1.069783197694406e-148,True,-5.961733962693262
1000,5,delete,neo4j_optimized,postgres_normal,-108.45420256574408,2.5471690932621026e-294,True,-10.845420256574407
1000,5,delete,neo4j_optimized,postgres_optimized,-120.27493126884464,1.02179084213e-312,True,-12.027493126884462
1000,5,delete,postgres_normal,postgres_optimized,1.3064527911949337,0.1921906939492192,False,0.13064527911949336
1000,5,easy,neo4j_normal,neo4j_optimized,0.002156469770607779,0.9982808302612111,False,0.00024900768051193834
1000,5,easy,neo4j_normal,postgres_normal,5.979186097980995,1.5905231183170938e-08,True,0.690416940640839
1000,5,easy,neo4j_normal,postgres_optimized,5.979404586809114,1.588752764412607e-08,True,0.6904421695575849
1000,5,easy,neo4j_optimized,postgres_normal,5.975172051255516,1.6224304573220472e-08,True,0.6899534384493402
1000,5,easy,neo4j_optimized,postgres_optimized,5.975390528495938,1.6206254808855278e-08,True,0.689978666028054
1000,5,easy,postgres_normal,postgres_optimized,0.0153458544449344,0.9877665429519693,False,0.0017719866389455383
1000,5,medium,neo4j_normal,neo4j_optimized,-0.16813514823802117,0.8665912613008204,False,-0.019414574619091827
1000,5,medium,neo4j_normal,postgres_normal,7.789418206093192,1.0530335320668477e-12,True,0.8994445396236953
1000,5,medium,neo4j_normal,postgres_optimized,7.729198647292486,1.4738737625099777e-12,True,0.8924909839268816
1000,5,medium,neo4j_optimized,postgres_normal,7.665055069196391,2.1154612682159617e-12,True,0.8850843215107683
1000,5,medium,neo4j_optimized,postgres_optimized,7.607649100739649,2.909234616244013e-12,True,0.8784556512424502
1000,5,medium,postgres_normal,postgres_optimized,-1.6618342372664998,0.09763802865506237,False,-0.19189208884687003
1000,5,update,neo4j_normal,neo4j_optimized,0.16070215232569052,0.8724144783859418,False,0.016070215232569046
1000,5,update,neo4j_normal,postgres_normal,3.950969444082942,0.0001080418983559565,True,0.3950969444082942
1000,5,update,neo4j_normal,postgres_optimized,3.913530367283387,0.00012483481454613534,True,0.39135303672833865
1000,5,update,neo4j_optimized,postgres_normal,4.819383190368663,2.8521824865710478e-06,True,0.4819383190368663
1000,5,update,neo4j_optimized,postgres_optimized,4.771188797010997,3.537693672923967e-06,True,0.4771188797010997
1000,5,update,postgres_normal,postgres_optimized,-4.083202186022449,5.516430218704459e-05,True,-0.4083202186022449
1000,5,very_complex,neo4j_normal,neo4j_optimized,0.6065861547719946,0.5445901296936874,False,0.07004253594886223
1000,5,very_complex,neo4j_normal,postgres_normal,-34.41982258203443,6.2889672638192675e-78,True,-3.9744587666393474
1000,5,very_complex,neo4j_normal,postgres_optimized,-33.96071124220676,1.600740336170165e-78,True,-3.9214451555118455
1000,5,very_complex,neo4j_optimized,postgres_normal,-37.8493453025383,5.728566215901986e-85,True,-4.370465939814317
1000,5,very_complex,neo4j_optimized,postgres_optimized,-37.297001779779684,7.344540577010464e-86,True,-4.30668680350435
1000,5,very_complex,postgres_normal,postgres_optimized,0.41410833949092724,0.6790978856744867,False,0.04781711225575115
1000,10,complex,neo4j_normal,neo4j_optimized,-0.2938952351759659,0.7690428029379924,False,-0.033936098628478455
1000,10,complex,neo4j_normal,postgres_normal,2.7985528714661716,0.00580995378300399,True,0.3231490507364788
1000,10,complex,neo4j_normal,postgres_optimized,2.9316368285474264,0.0039029963050813614,True,0.33851626242561544
1000,10,complex,neo4j_optimized,postgres_normal,3.1099808773104765,0.0022410044473105553,True,0.3591096593379584
1000,10,complex,neo4j_optimized,postgres_optimized,3.238542378552946,0.0014807697737245138,True,0.37395466280791084
1000,10,complex,postgres_normal,postgres_optimized,2.502405190444788,0.012918237654774295,True,0.28895286206496307
1000,10,create,neo4j_normal,neo4j_optimized,-0.7590558019562134,0.4482962546241318,False,-0.07590558019562134
1000,10,create,neo4j_normal,postgres_normal,-131.71388901790553,1.9369968970177573e-279,True,-13.171388901790554
1000,10,create,neo4j_normal,postgres_optimized,-135.65913061047095,1.9959800753530012e-271,True,-13.565913061047095
1000,10,create,neo4j_optimized,postgres_normal,-156.334313937571,0.0,True,-15.633431393757101
1000,10,create,neo4j_optimized,postgres_optimized,-162.6238310158522,0.0,True,-16.262383101585215
1000,10,create,postgres_normal,postgres_optimized,-1.3902221712864349,0.1652456232082089,False,-0.13902221712864346
1000,10,delete,neo4j_normal,neo4j_optimized,-0.8984263764172414,0.369541503080529,False,-0.08984263764172414
1000,10,delete,neo4j_normal,postgres_normal,-164.30567692563616,1.2566754475493657e-269,True,-16.430567692563613
1000,10,delete,neo4j_normal,postgres_optimized,-179.3292518504479,8.968240318558146e-291,True,-17.93292518504479
1000,10,delete,neo4j_optimized,postgres_normal,-155.37256799410477,7.462595682088918e-296,True,-15.537256799410473
1000,10,delete,neo4j_optimized,postgres_optimized,-168.08361208934187,1.1443e-320,True,-16.808361208934187
1000,10,delete,postgres_normal,postgres_optimized,-0.6274905884506022,0.5307010098065061,False,-0.06274905884506021
1000,10,easy,neo4j_normal,neo4j_optimized,0.014689618911787505,0.9882896312680497,False,0.0016962110866027068
1000,10,easy,neo4j_normal,postgres_normal,5.923349410508426,2.0953075031824732e-08,True,0.6839694753322503
1000,10,easy,neo4j_normal,postgres_optimized,5.925915266495726,2.0690353637909038e-08,True,0.6842657548612439
1000,10,easy,neo4j_optimized,postgres_normal,5.931894247746939,2.008954102588221e-08,True,0.6849561481482176
1000,10,easy,neo4j_optimized,postgres_optimized,5.934472912979294,1.983619375938975e-08,True,0.6852539067614277
1000,10,easy,postgres_normal,postgres_optimized,0.16874180446624176,0.8661142554041951,False,0.01948462524642558
1000,10,medium,neo4j_normal,neo4j_optimized,-1.420582861045947,0.15670743988572758,False,-0.16403477944620926
1000,10,medium,neo4j_normal,postgres_normal,7.019589774415221,7.307644800529109e-11,True,0.8105524091718744
1000,10,medium,neo4j_normal,postgres_optimized,6.975708043021451,9.223660726580822e-11,True,0.8054853832853345
1000,10,medium,neo4j_optimized,postgres_normal,5.91390364229632,2.1949603547216703e-08,True,0.6828787719682577
1000,10,medium,neo4j_optimized,postgres_optimized,5.887825456919549,2.4934836586732958e-08,True,0.6798675224988067
1000,10,medium,postgres_normal,postgres_optimized,-1.24094595325085,0.21577967475304835,False,-0.14329209603183102
1000,10,update,neo4j_normal,neo4j_optimized,0.18776187897158378,0.8511592223489022,False,0.01877618789715838
1000,10,update,neo4j_normal,postgres_normal,2.8482753730166244,0.004857018117369973,True,0.2848275373016624
1000,10,update,neo4j_normal,postgres_optimized,2.837212110521241,0.005021761585285858,True,0.2837212110521241
1000,10,update,neo4j_optimized,postgres_normal,2.714394444927876,0.0072222551122669365,True,0.27143944449278756
1000,10,update,neo4j_optimized,postgres_optimized,2.7027945270990146,0.007469895277999263,True,0.27027945270990145
1000,10,update,postgres_normal,postgres_optimized,-0.42917004091589,0.6680383135363881,False,-0.04291700409158901
1000,10,very_complex,neo4j_normal,neo4j_optimized,1.1048040558631855,0.27014923417315095,False,0.1275717838108801
1000,10,very_complex,neo4j_normal,postgres_normal,-56.56415407956136,9.109896164481846e-116,True,-6.531465916863644
1000,10,very_complex,neo4j_normal,postgres_optimized,-55.78887617950951,1.0682230501168884e-116,True,-6.441944536005303
1000,10,very_complex,neo4j_optimized,postgres_normal,-64.79803718646976,1.198498017815651e-129,True,-7.482232842513539
1000,10,very_complex,neo4j_optimized,postgres_optimized,-63.80749362708851,3.870984475906374e-131,True,-7.367854724382976
1000,10,very_complex,postgres_normal,postgres_optimized,0.8516785136247694,0.39508018842959924,False,0.09834336382085619
